player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Nicolò Barella,it ITA,MF,26-121,29.0,6.0,33.0,13.0,39.4,1.14,0.45,0.18,0.46,20.6,1.0,0.0,0.0,3.2,3.2,0.1,2.8,2.8,1306.0,1601.0,81.6,21320.0,6648.0,684.0,773.0,88.5,486.0,564.0,86.2,102.0,177.0,57.6,6.0,5.6,4.1,0.4,55.0,150.0,50.0,15.0,214.0,1601.0,1566.0,29.0,13.0,6.0,16.0,84.0,8.0,6.0,0.0,2.0,0.0,1306.0,6.0,30.0,121.0,4.17,103.0,4.0,5.0,2.0,6.0,1.0,13.0,0.45,11.0,0.0,2.0,0.0,0.0,0.0,49.0,25.0,17.0,26.0,6.0,28.0,53.0,52.8,25.0,29.0,5.0,24.0,12.0,61.0,12.0,0.0,1892.0,43.0,303.0,962.0,656.0,57.0,1892.0,70.0,40.0,57.1,17.0,24.3,1253.0,7327.0,3430.0,76.0,69.0,10.0,52.0,39.0,1426.0,162.0,35,2613.0,75.0,76.4,29.0,31,81.0,17,4,23.0,2,1.8,51.0,31.0,20.0,0.69,-0.31,53.1,27.3,25.7,0.89,0.24,6.0,0.0,0.0,32.0,45.0,9.0,84.0,12.0,25.0,0.0,0.0,0.0,178.0,20.0,15.0,57.1
Hakan Çalhanoğlu,tr TUR,MF,29-120,26.3,3.0,55.0,16.0,29.1,2.09,0.61,0.04,0.13,26.5,10.0,1.0,1.0,3.1,2.3,0.04,-0.1,-0.3,1396.0,1677.0,83.2,25576.0,7831.0,637.0,690.0,92.3,546.0,630.0,86.7,180.0,288.0,62.5,6.0,5.0,6.0,1.0,70.0,149.0,37.0,11.0,172.0,1677.0,1495.0,177.0,67.0,5.0,25.0,167.0,6.0,104.0,33.0,63.0,0.0,1396.0,5.0,12.0,131.0,4.99,75.0,46.0,0.0,5.0,4.0,1.0,11.0,0.42,8.0,3.0,0.0,0.0,0.0,0.0,48.0,27.0,17.0,26.0,5.0,16.0,43.0,37.2,27.0,30.0,5.0,25.0,25.0,73.0,13.0,1.0,1942.0,34.0,367.0,1015.0,581.0,26.0,1941.0,24.0,8.0,33.3,10.0,41.7,1167.0,5515.0,2601.0,46.0,55.0,6.0,32.0,12.0,1323.0,68.0,33,2364.0,72.0,69.1,26.3,28,80.0,12,5,23.0,2,2.06,56.0,25.0,31.0,1.18,1.35,47.1,22.0,25.1,0.96,0.4,3.0,0.0,0.0,46.0,26.0,2.0,167.0,25.0,27.0,0.0,0.0,0.0,193.0,14.0,15.0,48.3
Lautaro Martínez,ar ARG,FW,25-290,28.6,21.0,125.0,51.0,40.8,4.37,1.78,0.16,0.39,15.1,0.0,1.0,2.0,18.1,16.5,0.14,2.9,3.5,503.0,681.0,73.9,7435.0,1886.0,262.0,340.0,77.1,167.0,204.0,81.9,32.0,44.0,72.7,6.0,5.4,2.9,0.6,46.0,39.0,25.0,1.0,83.0,681.0,632.0,46.0,1.0,6.0,6.0,14.0,5.0,0.0,0.0,0.0,0.0,503.0,3.0,24.0,94.0,3.28,65.0,2.0,4.0,13.0,9.0,1.0,16.0,0.56,9.0,0.0,1.0,3.0,2.0,1.0,25.0,14.0,3.0,15.0,7.0,7.0,23.0,30.4,16.0,31.0,1.0,30.0,13.0,38.0,16.0,1.0,1085.0,23.0,90.0,474.0,536.0,171.0,1083.0,72.0,29.0,40.3,31.0,43.1,619.0,2854.0,1336.0,49.0,33.0,22.0,75.0,48.0,793.0,172.0,38,2576.0,68.0,75.3,28.6,27,84.0,18,11,27.0,0,1.89,59.0,37.0,22.0,0.77,0.02,53.1,27.0,26.1,0.91,0.33,3.0,0.0,0.0,46.0,63.0,13.0,14.0,13.0,14.0,1.0,0.0,0.0,95.0,40.0,42.0,48.8
Alessandro Bastoni,it ITA,DF,24-056,24.0,0.0,12.0,3.0,25.0,0.5,0.13,0.0,0.0,13.1,0.0,0.0,0.0,1.0,1.0,0.09,-1.0,-1.0,1384.0,1671.0,82.8,27841.0,9878.0,486.0,539.0,90.2,677.0,751.0,90.1,207.0,324.0,63.9,2.0,2.7,2.9,-0.7,15.0,130.0,29.0,11.0,141.0,1671.0,1510.0,152.0,53.0,2.0,24.0,49.0,77.0,0.0,0.0,0.0,0.0,1384.0,9.0,24.0,52.0,2.17,43.0,4.0,1.0,2.0,2.0,0.0,5.0,0.21,3.0,1.0,0.0,0.0,1.0,0.0,41.0,20.0,20.0,14.0,7.0,11.0,27.0,40.7,16.0,27.0,13.0,14.0,24.0,65.0,45.0,0.0,1857.0,201.0,796.0,821.0,250.0,30.0,1857.0,15.0,8.0,53.3,6.0,40.0,1137.0,5797.0,3688.0,47.0,31.0,3.0,13.0,6.0,1310.0,44.0,29,2159.0,74.0,63.1,24.0,26,80.0,16,3,25.0,8,1.9,42.0,25.0,17.0,0.71,-0.15,42.5,21.9,20.6,0.86,0.07,3.0,0.0,0.0,19.0,15.0,1.0,49.0,24.0,20.0,0.0,0.0,0.0,117.0,39.0,23.0,62.9
Federico Dimarco,it ITA,DF,25-210,23.0,4.0,49.0,15.0,30.6,2.13,0.65,0.08,0.27,20.7,7.0,0.0,0.0,3.1,3.1,0.06,0.9,0.9,925.0,1257.0,73.6,17591.0,5969.0,392.0,448.0,87.5,377.0,472.0,79.9,129.0,268.0,48.1,3.0,6.9,5.5,-3.9,59.0,67.0,42.0,28.0,88.0,1257.0,1035.0,220.0,39.0,0.0,21.0,207.0,116.0,60.0,16.0,36.0,0.0,925.0,2.0,21.0,103.0,4.48,64.0,29.0,1.0,5.0,3.0,1.0,8.0,0.35,6.0,0.0,1.0,1.0,0.0,0.0,31.0,25.0,6.0,18.0,7.0,9.0,19.0,47.4,10.0,15.0,4.0,11.0,18.0,49.0,20.0,0.0,1451.0,40.0,312.0,552.0,600.0,72.0,1451.0,20.0,5.0,25.0,13.0,65.0,776.0,3457.0,1846.0,45.0,29.0,6.0,18.0,11.0,955.0,189.0,33,2069.0,63.0,60.5,23.0,26,72.0,3,7,29.0,1,2.0,50.0,24.0,26.0,1.13,0.93,42.2,21.1,21.2,0.92,0.23,0.0,0.0,0.0,12.0,30.0,5.0,207.0,18.0,25.0,0.0,1.0,0.0,122.0,5.0,12.0,29.4
Francesco Acerbi,it ITA,DF,35-118,26.9,0.0,18.0,2.0,11.1,0.67,0.07,0.0,0.0,15.9,0.0,0.0,0.0,1.0,1.0,0.06,-1.0,-1.0,1455.0,1644.0,88.5,27034.0,8090.0,545.0,594.0,91.8,737.0,802.0,91.9,149.0,202.0,73.8,2.0,1.1,1.2,0.9,16.0,86.0,14.0,3.0,100.0,1644.0,1546.0,93.0,41.0,1.0,10.0,22.0,21.0,0.0,0.0,0.0,0.0,1455.0,5.0,4.0,37.0,1.37,34.0,1.0,0.0,2.0,0.0,0.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,33.0,19.0,22.0,7.0,4.0,20.0,27.0,74.1,7.0,25.0,18.0,7.0,41.0,74.0,85.0,2.0,1890.0,226.0,858.0,880.0,167.0,27.0,1890.0,12.0,7.0,58.3,4.0,33.3,1041.0,5108.0,2867.0,39.0,33.0,2.0,13.0,7.0,1252.0,32.0,31,2423.0,78.0,70.8,26.9,25,90.0,24,6,31.0,3,1.94,53.0,30.0,23.0,0.85,0.31,49.5,26.6,22.9,0.85,0.07,4.0,0.0,0.0,17.0,13.0,2.0,22.0,41.0,19.0,0.0,0.0,0.0,151.0,78.0,42.0,65.0
Denzel Dumfries,nl NED,DF,27-051,24.6,1.0,33.0,13.0,39.4,1.34,0.53,0.03,0.08,11.4,0.0,0.0,0.0,3.6,3.6,0.11,-2.6,-2.6,745.0,1004.0,74.2,12394.0,3688.0,358.0,416.0,86.1,313.0,409.0,76.5,56.0,111.0,50.5,4.0,4.9,3.9,-0.9,32.0,32.0,32.0,18.0,59.0,1004.0,833.0,168.0,6.0,1.0,2.0,82.0,162.0,0.0,0.0,0.0,0.0,745.0,3.0,27.0,71.0,2.88,48.0,4.0,1.0,9.0,8.0,1.0,11.0,0.45,6.0,0.0,0.0,2.0,3.0,0.0,35.0,18.0,17.0,13.0,5.0,22.0,34.0,64.7,12.0,33.0,9.0,24.0,12.0,47.0,26.0,0.0,1263.0,42.0,266.0,551.0,467.0,99.0,1263.0,52.0,18.0,34.6,23.0,44.2,674.0,3940.0,1928.0,62.0,32.0,23.0,39.0,20.0,785.0,172.0,34,2218.0,65.0,64.9,24.6,25,80.0,11,9,23.0,4,1.85,54.0,26.0,28.0,1.14,1.06,49.2,23.4,25.8,1.05,0.61,4.0,0.0,0.0,31.0,39.0,2.0,82.0,12.0,18.0,2.0,1.0,1.0,90.0,41.0,41.0,50.0
André Onana,cm CMR,GK,27-067,24.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,837.0,1030.0,81.3,20562.0,13611.0,224.0,224.0,100.0,386.0,394.0,98.0,220.0,402.0,54.7,0.0,0.1,0.1,-0.1,3.0,17.0,1.0,0.0,2.0,1030.0,845.0,182.0,30.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,837.0,3.0,0.0,8.0,0.33,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1071.0,890.0,1058.0,13.0,0.0,0.0,1071.0,0.0,0.0,,0.0,,728.0,3561.0,2314.0,0.0,0.0,0.0,1.0,0.0,657.0,0.0,24,2160.0,90.0,63.2,24.0,24,90.0,24,0,,14,1.88,39.0,24.0,15.0,0.62,-0.38,42.5,21.8,20.7,0.86,0.08,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,24.0,3.0,0.0,100.0
Matteo Darmian,it ITA,DF,33-188,22.5,1.0,7.0,1.0,14.3,0.31,0.04,0.14,1.0,20.5,0.0,0.0,0.0,1.0,1.0,0.14,0.0,0.0,1190.0,1376.0,86.5,21419.0,7160.0,477.0,512.0,93.2,598.0,664.0,90.1,97.0,155.0,62.6,2.0,1.9,2.0,0.1,19.0,68.0,18.0,10.0,88.0,1376.0,1246.0,127.0,18.0,2.0,16.0,28.0,109.0,0.0,0.0,0.0,0.0,1190.0,3.0,17.0,39.0,1.73,33.0,4.0,0.0,0.0,1.0,1.0,4.0,0.18,3.0,0.0,0.0,0.0,1.0,0.0,56.0,30.0,29.0,15.0,12.0,31.0,47.0,66.0,16.0,33.0,5.0,28.0,21.0,77.0,36.0,0.0,1564.0,94.0,580.0,754.0,241.0,23.0,1564.0,25.0,9.0,36.0,9.0,36.0,914.0,3627.0,1984.0,22.0,18.0,4.0,14.0,10.0,1087.0,96.0,31,2025.0,65.0,59.2,22.5,24,80.0,10,7,16.0,5,1.84,30.0,22.0,8.0,0.36,-1.0,37.5,19.3,18.3,0.81,-0.05,3.0,0.0,0.0,21.0,20.0,3.0,28.0,21.0,30.0,0.0,0.0,0.0,121.0,15.0,23.0,39.5
Henrikh Mkhitaryan,am ARM,MF,34-138,22.1,3.0,35.0,6.0,17.1,1.59,0.27,0.09,0.5,19.9,0.0,0.0,0.0,2.8,2.8,0.08,0.2,0.2,924.0,1058.0,87.3,15228.0,3797.0,454.0,497.0,91.3,361.0,408.0,88.5,79.0,96.0,82.3,2.0,2.1,2.4,-0.1,19.0,93.0,32.0,8.0,133.0,1058.0,1037.0,18.0,7.0,4.0,6.0,19.0,9.0,2.0,1.0,1.0,0.0,924.0,3.0,13.0,80.0,3.63,61.0,0.0,2.0,5.0,8.0,4.0,8.0,0.36,7.0,0.0,0.0,0.0,0.0,1.0,41.0,26.0,13.0,22.0,6.0,14.0,41.0,34.1,27.0,27.0,4.0,23.0,21.0,62.0,18.0,0.0,1288.0,31.0,195.0,710.0,402.0,38.0,1288.0,35.0,14.0,40.0,16.0,45.7,754.0,4097.0,2024.0,48.0,47.0,10.0,44.0,20.0,899.0,74.0,31,1986.0,64.0,58.1,22.1,24,75.0,6,7,26.0,1,1.84,44.0,18.0,26.0,1.18,0.99,41.9,18.0,23.9,1.09,0.61,4.0,0.0,0.0,28.0,28.0,0.0,19.0,21.0,26.0,0.0,0.0,0.0,166.0,9.0,12.0,42.9
