player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Ivan Provedel,it ITA,GK,29-083,37.9,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1061.0,1323.0,80.2,28575.0,20681.0,236.0,237.0,99.6,410.0,421.0,97.4,408.0,654.0,62.4,0.0,0.0,0.1,0.0,1.0,21.0,1.0,0.0,0.0,1323.0,1037.0,282.0,84.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1061.0,4.0,0.0,7.0,0.18,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,15.0,1.0,1405.0,1206.0,1397.0,9.0,0.0,0.0,1405.0,1.0,1.0,100.0,0.0,0.0,845.0,4576.0,2732.0,0.0,0.0,0.0,1.0,0.0,748.0,0.0,38,3413.0,90.0,99.8,37.9,37,90.0,37,1,83.0,0,1.95,60.0,30.0,30.0,0.79,0.79,51.1,41.3,9.8,0.26,-0.45,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,3.0,1.0,75.0
Felipe Anderson,br BRA,FW,30-054,32.9,9.0,41.0,23.0,56.1,1.25,0.7,0.22,0.39,15.1,0.0,0.0,0.0,6.0,6.0,0.15,3.0,3.0,1093.0,1410.0,77.5,15203.0,3384.0,665.0,780.0,85.3,331.0,416.0,79.6,49.0,86.0,57.0,2.0,4.8,4.2,-2.8,47.0,61.0,47.0,6.0,114.0,1410.0,1370.0,34.0,2.0,4.0,8.0,50.0,21.0,3.0,1.0,2.0,0.0,1093.0,6.0,41.0,99.0,3.01,79.0,1.0,10.0,6.0,3.0,0.0,15.0,0.46,8.0,0.0,4.0,2.0,1.0,0.0,80.0,50.0,31.0,41.0,8.0,31.0,88.0,35.2,57.0,58.0,6.0,52.0,31.0,111.0,27.0,0.0,1832.0,32.0,236.0,830.0,790.0,129.0,1832.0,105.0,54.0,51.4,42.0,40.0,967.0,5271.0,2369.0,83.0,62.0,31.0,85.0,44.0,1367.0,224.0,38,2958.0,78.0,86.5,32.9,35,82.0,23,3,28.0,0,1.95,48.0,24.0,24.0,0.73,-0.44,44.1,35.7,8.3,0.25,-0.03,3.0,0.0,0.0,40.0,33.0,7.0,50.0,31.0,50.0,1.0,0.0,0.0,142.0,14.0,21.0,40.0
Sergej Milinković-Savić,rs SRB,MF,28-101,33.6,9.0,64.0,19.0,29.7,1.91,0.57,0.14,0.47,17.3,8.0,0.0,0.0,6.8,6.8,0.11,2.2,2.2,1465.0,1930.0,75.9,22950.0,6133.0,813.0,978.0,83.1,479.0,600.0,79.8,117.0,216.0,54.2,8.0,7.1,4.9,0.9,42.0,138.0,43.0,3.0,166.0,1930.0,1882.0,41.0,25.0,15.0,22.0,29.0,16.0,0.0,0.0,0.0,0.0,1465.0,7.0,41.0,79.0,2.35,67.0,1.0,4.0,4.0,2.0,1.0,13.0,0.39,12.0,0.0,0.0,1.0,0.0,0.0,58.0,35.0,22.0,23.0,13.0,24.0,67.0,35.8,43.0,50.0,12.0,38.0,28.0,86.0,49.0,0.0,2411.0,73.0,442.0,1341.0,652.0,87.0,2411.0,80.0,39.0,48.8,31.0,38.8,1406.0,5856.0,2161.0,47.0,32.0,11.0,106.0,66.0,1926.0,129.0,36,3022.0,84.0,88.4,33.6,34,87.0,25,2,37.0,1,1.89,54.0,27.0,27.0,0.8,0.13,43.9,38.2,5.6,0.17,-0.78,10.0,0.0,0.0,45.0,72.0,2.0,29.0,28.0,35.0,0.0,0.0,0.0,168.0,96.0,71.0,57.5
Alessio Romagnoli,it ITA,DF,28-147,32.5,2.0,13.0,5.0,38.5,0.4,0.15,0.15,0.4,11.9,0.0,0.0,0.0,1.4,1.4,0.11,0.6,0.6,1673.0,1849.0,90.5,28906.0,11821.0,753.0,789.0,95.4,717.0,764.0,93.8,153.0,223.0,68.6,0.0,0.1,0.4,-0.1,2.0,91.0,4.0,0.0,62.0,1849.0,1688.0,161.0,91.0,1.0,13.0,0.0,2.0,0.0,0.0,0.0,0.0,1673.0,0.0,6.0,14.0,0.43,11.0,3.0,0.0,0.0,0.0,0.0,3.0,0.09,3.0,0.0,0.0,0.0,0.0,0.0,33.0,15.0,19.0,14.0,0.0,11.0,22.0,50.0,11.0,33.0,26.0,7.0,38.0,71.0,108.0,0.0,2107.0,306.0,1089.0,988.0,34.0,17.0,2107.0,1.0,1.0,100.0,0.0,0.0,1087.0,4470.0,2054.0,3.0,7.0,2.0,10.0,3.0,1386.0,3.0,34,2922.0,86.0,85.4,32.5,33,88.0,30,1,34.0,2,1.82,49.0,28.0,21.0,0.65,-0.98,40.3,36.1,4.2,0.13,-0.88,6.0,0.0,0.0,35.0,19.0,1.0,0.0,38.0,15.0,0.0,0.0,0.0,139.0,78.0,45.0,63.4
Mattia Zaccagni,it ITA,FW,27-357,30.8,10.0,56.0,23.0,41.1,1.82,0.75,0.16,0.39,16.7,1.0,1.0,1.0,6.7,5.9,0.11,3.3,3.1,841.0,1047.0,80.3,10898.0,2314.0,563.0,630.0,89.4,212.0,261.0,81.2,25.0,57.0,43.9,6.0,4.5,3.2,1.5,35.0,44.0,27.0,5.0,76.0,1047.0,1024.0,21.0,7.0,2.0,7.0,62.0,8.0,6.0,4.0,1.0,0.0,841.0,2.0,35.0,87.0,2.83,63.0,1.0,8.0,6.0,8.0,1.0,11.0,0.36,8.0,1.0,0.0,1.0,1.0,0.0,42.0,28.0,16.0,18.0,8.0,14.0,38.0,36.8,24.0,37.0,3.0,34.0,21.0,63.0,10.0,1.0,1402.0,16.0,162.0,628.0,636.0,120.0,1401.0,126.0,60.0,47.6,35.0,27.8,976.0,6797.0,3560.0,118.0,62.0,42.0,49.0,35.0,1136.0,282.0,35,2770.0,79.0,81.0,30.8,33,82.0,17,2,31.0,0,1.94,50.0,23.0,27.0,0.88,0.46,39.5,34.6,4.9,0.16,-0.52,9.0,0.0,0.0,53.0,117.0,5.0,62.0,21.0,28.0,0.0,1.0,0.0,132.0,15.0,29.0,34.1
Adam Marušić,me MNE,DF,30-234,30.7,0.0,16.0,7.0,43.8,0.52,0.23,0.0,0.0,24.0,0.0,0.0,0.0,0.7,0.7,0.04,-0.7,-0.7,1564.0,1829.0,85.5,23902.0,9688.0,866.0,939.0,92.2,546.0,644.0,84.8,104.0,164.0,63.4,2.0,1.1,1.2,0.9,9.0,107.0,7.0,4.0,116.0,1829.0,1573.0,253.0,28.0,0.0,8.0,17.0,225.0,0.0,0.0,0.0,0.0,1564.0,3.0,18.0,35.0,1.14,28.0,3.0,0.0,1.0,0.0,3.0,3.0,0.1,2.0,0.0,0.0,1.0,0.0,0.0,41.0,30.0,23.0,14.0,4.0,25.0,39.0,64.1,14.0,20.0,6.0,14.0,38.0,79.0,63.0,1.0,2049.0,100.0,795.0,1005.0,260.0,17.0,2049.0,15.0,10.0,66.7,3.0,20.0,1065.0,4702.0,2669.0,38.0,39.0,4.0,13.0,13.0,1334.0,43.0,33,2759.0,84.0,80.7,30.7,31,86.0,23,2,40.0,1,1.91,47.0,25.0,22.0,0.72,-0.37,39.6,33.8,5.8,0.19,-0.35,8.0,1.0,0.0,22.0,14.0,1.0,17.0,38.0,30.0,0.0,0.0,0.0,175.0,29.0,25.0,53.7
Luis Alberto,es ESP,MF,30-253,27.1,6.0,45.0,17.0,37.8,1.66,0.63,0.11,0.29,23.2,4.0,1.0,2.0,4.4,2.7,0.06,1.6,2.3,1640.0,1988.0,82.5,25338.0,8690.0,905.0,986.0,91.8,560.0,646.0,86.7,116.0,238.0,48.7,7.0,7.0,6.3,0.0,66.0,210.0,56.0,1.0,248.0,1988.0,1732.0,246.0,81.0,14.0,7.0,147.0,7.0,117.0,55.0,49.0,0.0,1640.0,10.0,30.0,115.0,4.24,80.0,30.0,0.0,4.0,0.0,1.0,15.0,0.55,13.0,2.0,0.0,0.0,0.0,0.0,49.0,29.0,18.0,20.0,11.0,23.0,72.0,31.9,49.0,35.0,6.0,29.0,9.0,58.0,4.0,0.0,2217.0,29.0,269.0,1285.0,681.0,43.0,2215.0,41.0,19.0,46.3,20.0,48.8,1244.0,5632.0,3214.0,73.0,76.0,10.0,33.0,31.0,1632.0,94.0,35,2442.0,70.0,71.4,27.1,27,82.0,16,8,27.0,2,1.94,49.0,19.0,30.0,1.11,1.11,39.6,27.7,11.9,0.44,0.63,3.0,0.0,0.0,15.0,13.0,2.0,147.0,9.0,29.0,0.0,0.0,0.0,162.0,8.0,13.0,38.1
Nicolò Casale,it ITA,DF,25-114,27.1,1.0,8.0,2.0,25.0,0.3,0.07,0.13,0.5,10.9,0.0,0.0,0.0,0.6,0.6,0.08,0.4,0.4,1485.0,1616.0,91.9,26275.0,9500.0,591.0,633.0,93.4,701.0,741.0,94.6,142.0,169.0,84.0,1.0,0.3,0.6,0.7,4.0,55.0,1.0,0.0,70.0,1616.0,1535.0,79.0,72.0,2.0,9.0,0.0,3.0,0.0,0.0,0.0,0.0,1485.0,2.0,8.0,12.0,0.44,10.0,1.0,0.0,1.0,0.0,0.0,4.0,0.15,3.0,0.0,0.0,1.0,0.0,0.0,42.0,20.0,28.0,14.0,0.0,22.0,34.0,64.7,12.0,25.0,17.0,8.0,17.0,59.0,73.0,1.0,1803.0,215.0,871.0,917.0,27.0,14.0,1803.0,3.0,1.0,33.3,2.0,66.7,1102.0,6813.0,3784.0,11.0,3.0,0.0,5.0,1.0,1246.0,3.0,29,2437.0,84.0,71.3,27.1,27,89.0,25,2,21.0,6,1.86,38.0,24.0,14.0,0.52,-0.95,36.3,28.5,7.7,0.29,0.09,6.0,0.0,0.0,22.0,7.0,0.0,0.0,17.0,20.0,0.0,0.0,0.0,142.0,45.0,27.0,62.5
Ciro Immobile,it ITA,FW,33-108,24.7,12.0,72.0,30.0,41.7,2.92,1.22,0.11,0.27,15.0,0.0,4.0,5.0,14.2,10.3,0.14,-2.2,-2.3,472.0,629.0,75.0,6048.0,963.0,295.0,356.0,82.9,120.0,156.0,76.9,19.0,26.0,73.1,5.0,1.9,1.6,3.1,26.0,19.0,11.0,0.0,43.0,629.0,605.0,19.0,0.0,5.0,2.0,5.0,8.0,0.0,0.0,0.0,0.0,472.0,5.0,25.0,72.0,2.92,48.0,0.0,7.0,12.0,5.0,0.0,15.0,0.61,10.0,0.0,0.0,3.0,2.0,0.0,11.0,5.0,4.0,4.0,3.0,6.0,9.0,66.7,3.0,10.0,2.0,8.0,1.0,12.0,14.0,0.0,868.0,18.0,55.0,370.0,451.0,159.0,863.0,43.0,18.0,41.9,20.0,46.5,503.0,2914.0,1134.0,40.0,21.0,27.0,63.0,22.0,695.0,174.0,31,2221.0,72.0,64.9,24.7,27,79.0,17,4,22.0,2,1.97,42.0,19.0,23.0,0.93,0.41,32.9,28.6,4.2,0.17,-0.25,3.0,0.0,0.0,21.0,24.0,21.0,5.0,1.0,5.0,3.0,0.0,0.0,52.0,14.0,33.0,29.8
Danilo Cataldi,it ITA,MF,28-306,21.4,0.0,7.0,1.0,14.3,0.33,0.05,0.0,0.0,28.8,1.0,0.0,0.0,0.2,0.2,0.03,-0.2,-0.2,1147.0,1325.0,86.6,17538.0,6173.0,658.0,708.0,92.9,354.0,410.0,86.3,94.0,142.0,66.2,1.0,1.1,1.5,-0.1,16.0,99.0,9.0,0.0,83.0,1325.0,1245.0,76.0,40.0,3.0,5.0,44.0,3.0,33.0,6.0,20.0,0.0,1147.0,4.0,14.0,35.0,1.64,21.0,13.0,0.0,1.0,0.0,0.0,2.0,0.09,1.0,0.0,0.0,1.0,0.0,0.0,25.0,16.0,7.0,15.0,3.0,14.0,40.0,35.0,26.0,23.0,9.0,14.0,24.0,49.0,33.0,0.0,1487.0,80.0,370.0,954.0,174.0,0.0,1487.0,18.0,6.0,33.3,8.0,44.4,752.0,2871.0,1108.0,8.0,9.0,0.0,7.0,8.0,1044.0,14.0,29,1923.0,66.0,56.2,21.4,26,72.0,4,3,18.0,2,1.97,37.0,15.0,22.0,1.03,0.55,30.1,22.4,7.7,0.36,0.23,5.0,0.0,0.0,12.0,20.0,0.0,44.0,24.0,16.0,0.0,0.0,0.0,159.0,1.0,5.0,16.7
