player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Theo Hernández,fr FRA,DF,25-245,30.8,4.0,51.0,11.0,21.6,1.66,0.36,0.06,0.27,23.1,5.0,1.0,1.0,4.1,3.3,0.06,-0.1,-0.3,1391.0,1751.0,79.4,23094.0,7593.0,686.0,765.0,89.7,554.0,672.0,82.4,112.0,203.0,55.2,3.0,3.3,2.9,-0.3,37.0,90.0,36.0,12.0,128.0,1751.0,1403.0,344.0,50.0,1.0,24.0,92.0,272.0,22.0,2.0,18.0,0.0,1391.0,4.0,42.0,87.0,2.82,51.0,17.0,3.0,7.0,8.0,1.0,8.0,0.26,5.0,2.0,1.0,0.0,0.0,0.0,43.0,24.0,27.0,15.0,1.0,22.0,38.0,57.9,16.0,34.0,7.0,27.0,21.0,64.0,35.0,1.0,2078.0,69.0,495.0,1026.0,584.0,69.0,2077.0,68.0,19.0,27.9,36.0,52.9,1173.0,7669.0,4489.0,108.0,80.0,16.0,46.0,19.0,1280.0,146.0,32,2771.0,87.0,81.0,30.8,32,87.0,27,0,,2,2.0,56.0,31.0,25.0,0.81,1.37,48.9,30.5,18.4,0.6,0.69,7.0,0.0,0.0,22.0,57.0,2.0,92.0,21.0,24.0,0.0,0.0,1.0,190.0,37.0,15.0,71.2
Fikayo Tomori,eng ENG,DF,25-171,30.7,1.0,9.0,4.0,44.4,0.29,0.13,0.11,0.25,14.1,0.0,0.0,0.0,1.3,1.3,0.15,-0.3,-0.3,1697.0,1922.0,88.3,34375.0,10863.0,568.0,608.0,93.4,876.0,942.0,93.0,242.0,324.0,74.7,1.0,0.8,0.9,0.2,9.0,91.0,7.0,0.0,122.0,1922.0,1786.0,129.0,51.0,4.0,19.0,6.0,13.0,0.0,0.0,0.0,0.0,1697.0,7.0,18.0,23.0,0.75,19.0,2.0,0.0,0.0,1.0,1.0,2.0,0.07,2.0,0.0,0.0,0.0,0.0,0.0,70.0,34.0,44.0,25.0,1.0,22.0,34.0,64.7,12.0,46.0,25.0,21.0,29.0,99.0,88.0,1.0,2218.0,243.0,1089.0,1078.0,63.0,14.0,2218.0,6.0,3.0,50.0,1.0,16.7,1258.0,6315.0,3346.0,26.0,6.0,0.0,9.0,3.0,1423.0,10.0,33,2761.0,84.0,80.7,30.7,32,85.0,26,1,32.0,1,1.97,57.0,29.0,28.0,0.91,1.87,50.8,31.6,19.2,0.62,0.82,5.0,0.0,0.0,28.0,25.0,1.0,6.0,29.0,34.0,0.0,1.0,0.0,190.0,62.0,30.0,67.4
Sandro Tonali,it ITA,MF,23-031,30.1,2.0,32.0,14.0,43.8,1.06,0.46,0.06,0.14,22.2,6.0,0.0,0.0,2.4,2.4,0.07,-0.4,-0.4,1185.0,1565.0,75.7,21009.0,6485.0,526.0,610.0,86.2,482.0,583.0,82.7,139.0,278.0,50.0,7.0,5.7,4.5,1.3,62.0,124.0,29.0,8.0,159.0,1565.0,1361.0,193.0,94.0,7.0,14.0,130.0,21.0,74.0,23.0,42.0,0.0,1185.0,11.0,30.0,101.0,3.35,62.0,26.0,2.0,6.0,2.0,3.0,13.0,0.43,9.0,1.0,1.0,1.0,0.0,1.0,64.0,41.0,35.0,24.0,5.0,27.0,44.0,61.4,17.0,34.0,9.0,25.0,25.0,89.0,26.0,1.0,1836.0,48.0,356.0,1007.0,491.0,33.0,1836.0,23.0,9.0,39.1,10.0,43.5,937.0,5641.0,2809.0,61.0,40.0,2.0,41.0,9.0,1154.0,86.0,34,2713.0,80.0,79.3,30.1,30,87.0,23,4,25.0,2,1.82,49.0,36.0,13.0,0.43,-0.59,47.0,33.1,13.9,0.46,-0.03,7.0,0.0,0.0,35.0,32.0,5.0,130.0,25.0,41.0,0.0,0.0,0.0,178.0,15.0,18.0,45.5
Rafael Leão,pt POR,"FW,MF",23-363,26.9,15.0,92.0,29.0,31.5,3.42,1.08,0.16,0.52,17.9,0.0,0.0,0.0,10.8,10.8,0.12,4.2,4.2,595.0,845.0,70.4,10191.0,3212.0,282.0,365.0,77.3,226.0,302.0,74.8,65.0,107.0,60.7,8.0,7.0,6.2,1.0,49.0,64.0,59.0,14.0,122.0,845.0,802.0,39.0,3.0,5.0,17.0,71.0,28.0,7.0,0.0,0.0,0.0,595.0,4.0,29.0,123.0,4.57,80.0,3.0,24.0,8.0,8.0,0.0,18.0,0.67,12.0,1.0,4.0,0.0,1.0,0.0,8.0,7.0,2.0,3.0,3.0,6.0,14.0,42.9,8.0,9.0,2.0,7.0,15.0,23.0,8.0,0.0,1195.0,10.0,66.0,487.0,672.0,144.0,1195.0,171.0,77.0,45.0,76.0,44.4,804.0,7464.0,3808.0,136.0,113.0,64.0,69.0,38.0,924.0,235.0,35,2422.0,69.0,70.8,26.9,28,79.0,13,7,30.0,0,2.0,53.0,31.0,22.0,0.82,0.91,44.5,27.9,16.6,0.62,0.51,7.0,1.0,1.0,20.0,30.0,10.0,71.0,15.0,7.0,1.0,0.0,0.0,84.0,29.0,29.0,50.0
Brahim Díaz,es ESP,"MF,FW",23-309,21.4,6.0,35.0,16.0,45.7,1.63,0.75,0.17,0.38,14.5,1.0,0.0,0.0,6.0,6.0,0.17,0.0,0.0,575.0,719.0,80.0,8239.0,2469.0,329.0,375.0,87.7,193.0,231.0,83.5,26.0,46.0,56.5,7.0,5.6,3.4,1.4,41.0,80.0,40.0,3.0,121.0,719.0,677.0,37.0,8.0,11.0,2.0,20.0,9.0,6.0,0.0,4.0,0.0,575.0,5.0,24.0,96.0,4.49,69.0,1.0,12.0,6.0,7.0,1.0,18.0,0.84,8.0,0.0,6.0,2.0,1.0,1.0,32.0,15.0,5.0,22.0,5.0,5.0,15.0,33.3,10.0,11.0,0.0,11.0,7.0,39.0,6.0,0.0,990.0,6.0,63.0,538.0,413.0,65.0,990.0,86.0,39.0,45.3,40.0,46.5,691.0,4623.0,2512.0,80.0,68.0,17.0,74.0,48.0,763.0,116.0,33,1927.0,58.0,56.3,21.4,27,65.0,1,6,28.0,4,1.85,36.0,21.0,15.0,0.7,0.34,34.2,19.8,14.5,0.68,0.48,3.0,0.0,0.0,29.0,50.0,2.0,20.0,7.0,15.0,1.0,0.0,0.0,100.0,4.0,24.0,14.3
Pierre Kalulu,fr FRA,DF,23-003,28.3,1.0,11.0,2.0,18.2,0.39,0.07,0.09,0.5,10.0,0.0,0.0,0.0,1.5,1.5,0.14,-0.5,-0.5,1589.0,1821.0,87.3,29265.0,9921.0,612.0,663.0,92.3,836.0,909.0,92.0,128.0,208.0,61.5,0.0,1.2,1.2,-1.2,10.0,109.0,10.0,5.0,138.0,1821.0,1674.0,143.0,52.0,3.0,3.0,28.0,86.0,0.0,0.0,0.0,0.0,1589.0,4.0,13.0,33.0,1.17,28.0,2.0,0.0,2.0,0.0,1.0,3.0,0.11,2.0,1.0,0.0,0.0,0.0,0.0,57.0,39.0,33.0,21.0,3.0,28.0,42.0,66.7,14.0,41.0,17.0,24.0,41.0,98.0,56.0,1.0,2099.0,118.0,890.0,1056.0,172.0,18.0,2099.0,18.0,10.0,55.6,5.0,27.8,1284.0,7528.0,4148.0,52.0,25.0,0.0,25.0,5.0,1410.0,43.0,34,2548.0,75.0,74.5,28.3,26,88.0,25,8,32.0,2,1.76,46.0,41.0,5.0,0.18,-1.47,42.7,34.3,8.4,0.3,-0.66,4.0,0.0,0.0,24.0,23.0,2.0,28.0,41.0,39.0,0.0,1.0,0.0,165.0,36.0,33.0,52.2
Olivier Giroud,fr FRA,FW,36-251,23.8,13.0,77.0,29.0,37.7,3.24,1.22,0.13,0.34,12.7,6.0,3.0,3.0,12.7,10.4,0.14,0.3,-0.4,351.0,560.0,62.7,4172.0,765.0,223.0,333.0,67.0,81.0,123.0,65.9,8.0,15.0,53.3,5.0,4.0,2.0,1.0,24.0,13.0,7.0,0.0,36.0,560.0,527.0,32.0,2.0,1.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,351.0,1.0,13.0,50.0,2.1,39.0,0.0,0.0,8.0,3.0,0.0,6.0,0.25,3.0,0.0,0.0,3.0,0.0,0.0,8.0,5.0,2.0,4.0,2.0,2.0,10.0,20.0,8.0,11.0,3.0,8.0,3.0,11.0,23.0,0.0,801.0,29.0,59.0,348.0,402.0,158.0,798.0,14.0,7.0,50.0,6.0,42.9,350.0,934.0,359.0,12.0,10.0,7.0,63.0,16.0,611.0,152.0,33,2139.0,65.0,62.5,23.8,25,78.0,9,8,23.0,2,1.88,42.0,25.0,17.0,0.72,0.43,36.5,23.4,13.1,0.55,0.23,8.0,1.0,1.0,38.0,24.0,16.0,5.0,3.0,5.0,0.0,0.0,0.0,48.0,101.0,63.0,61.6
Ismaël Bennacer,dz ALG,MF,25-189,22.3,2.0,16.0,3.0,18.8,0.72,0.13,0.13,0.67,25.0,3.0,0.0,0.0,1.0,1.0,0.06,1.0,1.0,1219.0,1423.0,85.7,21142.0,5792.0,565.0,616.0,91.7,451.0,505.0,89.3,151.0,228.0,66.2,2.0,3.3,3.1,-1.3,43.0,123.0,28.0,4.0,132.0,1423.0,1309.0,112.0,54.0,4.0,11.0,79.0,5.0,51.0,19.0,27.0,0.0,1219.0,2.0,16.0,87.0,3.9,59.0,18.0,1.0,3.0,4.0,2.0,4.0,0.18,1.0,1.0,0.0,1.0,0.0,1.0,59.0,33.0,26.0,31.0,2.0,30.0,51.0,58.8,21.0,25.0,7.0,18.0,26.0,85.0,16.0,1.0,1666.0,30.0,300.0,1023.0,369.0,10.0,1666.0,49.0,27.0,55.1,13.0,26.5,985.0,5133.0,2012.0,30.0,30.0,4.0,42.0,23.0,1097.0,52.0,28,2007.0,72.0,58.7,22.3,24,79.0,13,4,26.0,1,1.82,38.0,21.0,17.0,0.76,0.51,34.8,23.1,11.7,0.52,0.14,5.0,0.0,0.0,36.0,25.0,1.0,79.0,26.0,33.0,0.0,0.0,0.0,186.0,22.0,22.0,50.0
Mike Maignan,fr FRA,GK,27-340,22.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,674.0,814.0,82.8,16900.0,10659.0,133.0,134.0,99.3,354.0,360.0,98.3,185.0,314.0,58.9,1.0,0.0,0.0,1.0,1.0,17.0,0.0,0.0,1.0,814.0,698.0,112.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,674.0,4.0,0.0,3.0,0.14,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.05,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,1.0,2.0,10.0,1.0,853.0,639.0,838.0,15.0,0.0,0.0,853.0,0.0,0.0,,0.0,,618.0,3323.0,2132.0,0.0,0.0,0.0,0.0,0.0,525.0,0.0,22,1978.0,90.0,57.8,22.0,22,90.0,21,0,,0,1.82,37.0,21.0,16.0,0.73,0.42,34.3,22.1,12.2,0.56,0.21,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,32.0,3.0,0.0,100.0
Davide Calabria,it ITA,DF,26-184,18.8,1.0,16.0,2.0,12.5,0.85,0.11,0.06,0.5,23.9,0.0,0.0,0.0,1.2,1.2,0.07,-0.2,-0.2,1040.0,1276.0,81.5,17672.0,5902.0,484.0,518.0,93.4,452.0,524.0,86.3,88.0,187.0,47.1,4.0,1.7,1.6,2.3,19.0,71.0,19.0,12.0,108.0,1276.0,1076.0,194.0,18.0,0.0,5.0,41.0,171.0,5.0,0.0,5.0,0.0,1040.0,6.0,24.0,37.0,1.97,30.0,2.0,0.0,1.0,3.0,1.0,6.0,0.32,5.0,0.0,0.0,0.0,1.0,0.0,71.0,44.0,31.0,32.0,8.0,38.0,61.0,62.3,23.0,22.0,7.0,15.0,25.0,96.0,34.0,0.0,1474.0,59.0,414.0,768.0,307.0,16.0,1474.0,14.0,3.0,21.4,8.0,57.1,755.0,3303.0,1966.0,26.0,23.0,2.0,14.0,7.0,915.0,80.0,25,1689.0,68.0,49.4,18.8,21,78.0,10,4,14.0,3,1.72,35.0,25.0,10.0,0.53,-0.04,28.4,19.6,8.8,0.47,0.0,6.0,0.0,0.0,16.0,15.0,1.0,41.0,25.0,44.0,1.0,1.0,0.0,122.0,13.0,12.0,52.0
