player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Michele Di Gregorio,it ITA,GK,25-316,37.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1151.0,1515.0,76.0,29670.0,19870.0,259.0,259.0,100.0,539.0,553.0,97.5,347.0,694.0,50.0,1.0,0.0,0.1,1.0,1.0,16.0,1.0,0.0,0.0,1515.0,1162.0,350.0,103.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1151.0,3.0,0.0,3.0,0.08,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,1.0,0.0,1.0,4.0,4.0,18.0,3.0,1607.0,1324.0,1600.0,7.0,0.0,0.0,1607.0,2.0,2.0,100.0,0.0,0.0,973.0,5309.0,3519.0,0.0,0.0,0.0,1.0,1.0,841.0,0.0,37,3330.0,90.0,97.4,37.0,37,90.0,37,0,,1,1.41,48.0,49.0,-1.0,-0.03,2.97,44.6,48.9,-4.3,-0.12,0.93,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,31.0,4.0,1.0,80.0
Carlos,br BRA,DF,24-152,34.3,6.0,42.0,16.0,38.1,1.23,0.47,0.14,0.38,15.0,0.0,0.0,0.0,4.4,4.4,0.11,1.6,1.6,1430.0,1719.0,83.2,22788.0,6775.0,743.0,811.0,91.6,566.0,665.0,85.1,82.0,133.0,61.7,5.0,3.7,3.4,1.3,26.0,75.0,27.0,7.0,101.0,1719.0,1409.0,305.0,20.0,2.0,7.0,54.0,280.0,0.0,0.0,0.0,0.0,1430.0,5.0,49.0,56.0,1.63,45.0,3.0,3.0,2.0,2.0,1.0,9.0,0.26,8.0,0.0,0.0,1.0,0.0,0.0,73.0,38.0,42.0,23.0,8.0,33.0,54.0,61.1,21.0,24.0,6.0,18.0,24.0,97.0,85.0,1.0,2073.0,111.0,676.0,917.0,498.0,71.0,2073.0,61.0,33.0,54.1,24.0,39.3,1032.0,5925.0,3073.0,87.0,62.0,15.0,45.0,28.0,1267.0,151.0,35,3083.0,88.0,90.1,34.3,35,88.0,31,0,,0,1.4,45.0,46.0,-1.0,-0.03,0.77,42.9,44.5,-1.6,-0.05,0.97,4.0,0.0,0.0,41.0,19.0,6.0,54.0,24.0,38.0,0.0,0.0,0.0,157.0,57.0,33.0,63.3
Matteo Pessina,it ITA,MF,26-048,32.6,5.0,25.0,6.0,24.0,0.77,0.18,0.08,0.33,19.2,0.0,3.0,3.0,5.1,2.8,0.11,-0.1,-0.8,1719.0,2025.0,84.9,28932.0,8199.0,807.0,896.0,90.1,731.0,813.0,89.9,134.0,190.0,70.5,3.0,2.1,2.7,0.9,22.0,150.0,36.0,3.0,193.0,2025.0,1919.0,94.0,66.0,2.0,10.0,36.0,10.0,15.0,0.0,12.0,0.0,1719.0,12.0,43.0,69.0,2.12,57.0,1.0,2.0,0.0,7.0,2.0,11.0,0.34,9.0,0.0,1.0,0.0,1.0,0.0,57.0,36.0,28.0,21.0,8.0,26.0,62.0,41.9,36.0,50.0,15.0,35.0,37.0,94.0,33.0,1.0,2378.0,87.0,587.0,1333.0,484.0,51.0,2375.0,58.0,34.0,58.6,19.0,32.8,1434.0,8205.0,3834.0,77.0,45.0,6.0,62.0,35.0,1704.0,88.0,35,2932.0,84.0,85.7,32.6,34,85.0,25,1,30.0,1,1.49,44.0,43.0,1.0,0.03,0.95,40.3,43.4,-3.1,-0.09,0.34,6.0,0.0,0.0,41.0,53.0,1.0,36.0,37.0,36.0,0.0,0.0,0.0,225.0,38.0,35.0,52.1
Gianluca Caprari,it ITA,"MF,FW",29-313,27.1,5.0,50.0,13.0,26.0,1.84,0.48,0.08,0.31,20.0,1.0,1.0,1.0,5.0,4.2,0.08,0.0,-0.2,853.0,1082.0,78.8,13026.0,2612.0,495.0,561.0,88.2,250.0,322.0,77.6,70.0,100.0,70.0,2.0,2.5,2.8,-0.5,29.0,56.0,30.0,4.0,92.0,1082.0,1019.0,57.0,11.0,5.0,15.0,76.0,7.0,33.0,6.0,24.0,0.0,853.0,6.0,45.0,78.0,2.87,59.0,9.0,5.0,4.0,1.0,0.0,11.0,0.41,8.0,2.0,0.0,0.0,1.0,0.0,16.0,6.0,3.0,11.0,2.0,8.0,26.0,30.8,18.0,22.0,1.0,21.0,8.0,24.0,3.0,0.0,1364.0,7.0,128.0,668.0,577.0,103.0,1363.0,91.0,40.0,44.0,43.0,47.3,884.0,5535.0,2661.0,100.0,50.0,42.0,79.0,32.0,1089.0,188.0,37,2441.0,66.0,71.4,27.1,32,71.0,5,5,32.0,0,1.38,33.0,42.0,-9.0,-0.33,-0.79,31.0,35.1,-4.1,-0.15,-0.03,7.0,0.0,0.0,34.0,50.0,9.0,76.0,8.0,6.0,0.0,0.0,0.0,101.0,6.0,21.0,22.2
Patrick Ciurria,it ITA,"DF,MF",28-119,30.6,6.0,50.0,23.0,46.0,1.63,0.75,0.12,0.26,20.2,0.0,0.0,0.0,4.8,4.8,0.1,1.2,1.2,1061.0,1335.0,79.5,16691.0,5156.0,563.0,633.0,88.9,387.0,493.0,78.5,76.0,140.0,54.3,5.0,5.5,3.3,-0.5,36.0,67.0,31.0,14.0,91.0,1335.0,1132.0,200.0,23.0,1.0,2.0,98.0,145.0,32.0,0.0,26.0,0.0,1061.0,3.0,16.0,67.0,2.19,42.0,12.0,4.0,6.0,2.0,1.0,4.0,0.13,3.0,1.0,0.0,0.0,0.0,0.0,31.0,18.0,20.0,10.0,1.0,17.0,33.0,51.5,16.0,24.0,2.0,22.0,7.0,38.0,32.0,0.0,1604.0,46.0,396.0,694.0,534.0,51.0,1604.0,54.0,18.0,33.3,28.0,51.9,877.0,5018.0,2362.0,67.0,48.0,9.0,47.0,16.0,1062.0,168.0,36,2753.0,76.0,80.5,30.6,31,85.0,21,5,25.0,2,1.44,42.0,35.0,7.0,0.23,1.71,38.5,40.0,-1.5,-0.05,0.47,4.0,0.0,0.0,32.0,41.0,8.0,98.0,7.0,18.0,0.0,0.0,0.0,138.0,12.0,13.0,48.0
Armando Izzo,it ITA,DF,31-098,27.4,1.0,16.0,4.0,25.0,0.58,0.15,0.06,0.25,10.4,0.0,0.0,0.0,2.1,2.1,0.13,-1.1,-1.1,1389.0,1597.0,87.0,25346.0,7926.0,543.0,583.0,93.1,687.0,755.0,91.0,131.0,213.0,61.5,0.0,0.9,0.8,-0.9,15.0,85.0,7.0,2.0,96.0,1597.0,1495.0,96.0,67.0,1.0,19.0,7.0,25.0,0.0,0.0,0.0,0.0,1389.0,6.0,8.0,26.0,0.95,22.0,0.0,0.0,1.0,1.0,2.0,1.0,0.04,0.0,0.0,0.0,0.0,1.0,0.0,73.0,50.0,44.0,27.0,2.0,29.0,45.0,64.4,16.0,29.0,17.0,12.0,50.0,123.0,87.0,1.0,1890.0,191.0,962.0,812.0,130.0,28.0,1890.0,22.0,11.0,50.0,9.0,40.9,1041.0,4854.0,2484.0,22.0,10.0,1.0,11.0,8.0,1280.0,29.0,30,2467.0,82.0,72.1,27.4,29,85.0,19,1,5.0,0,1.73,39.0,25.0,14.0,0.51,2.21,33.1,32.8,0.3,0.01,0.55,10.0,0.0,0.0,44.0,45.0,1.0,7.0,50.0,50.0,1.0,1.0,0.0,150.0,40.0,37.0,51.9
Pablo Marí,es ESP,DF,29-281,27.6,1.0,10.0,2.0,20.0,0.36,0.07,0.1,0.5,15.2,0.0,0.0,0.0,0.6,0.6,0.06,0.4,0.4,1431.0,1621.0,88.3,29354.0,11383.0,404.0,446.0,90.6,822.0,866.0,94.9,194.0,275.0,70.5,0.0,0.3,0.3,-0.3,3.0,74.0,2.0,0.0,57.0,1621.0,1544.0,71.0,40.0,0.0,7.0,1.0,8.0,0.0,0.0,0.0,0.0,1431.0,6.0,9.0,14.0,0.51,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,19.0,29.0,7.0,1.0,17.0,26.0,65.4,9.0,22.0,14.0,8.0,31.0,68.0,111.0,3.0,1874.0,299.0,1090.0,750.0,37.0,15.0,1874.0,4.0,2.0,50.0,2.0,50.0,1049.0,5335.0,2820.0,6.0,8.0,1.0,10.0,5.0,1273.0,3.0,30,2487.0,83.0,72.7,27.6,28,86.0,25,2,35.0,1,1.43,37.0,37.0,0.0,0.0,0.39,33.6,38.6,-5.0,-0.18,-0.14,4.0,0.0,0.0,31.0,9.0,1.0,1.0,31.0,19.0,0.0,0.0,0.0,131.0,59.0,27.0,68.6
Luca Caldirola,it ITA,DF,32-127,26.1,2.0,10.0,4.0,40.0,0.38,0.15,0.2,0.5,10.9,0.0,0.0,0.0,1.1,1.1,0.11,0.9,0.9,1262.0,1435.0,87.9,22342.0,8287.0,534.0,555.0,96.2,592.0,653.0,90.7,109.0,179.0,60.9,0.0,0.5,0.3,-0.5,4.0,55.0,4.0,1.0,63.0,1435.0,1368.0,65.0,39.0,1.0,8.0,5.0,6.0,0.0,0.0,0.0,0.0,1262.0,2.0,8.0,12.0,0.46,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,26.0,14.0,19.0,4.0,3.0,13.0,26.0,50.0,13.0,32.0,18.0,14.0,25.0,51.0,66.0,1.0,1636.0,219.0,891.0,674.0,75.0,12.0,1636.0,3.0,1.0,33.3,1.0,33.3,978.0,4803.0,2623.0,12.0,11.0,0.0,5.0,1.0,1176.0,13.0,31,2353.0,76.0,68.8,26.1,27,83.0,17,4,31.0,4,1.65,36.0,32.0,4.0,0.15,0.83,32.1,33.7,-1.5,-0.06,0.26,6.0,0.0,0.0,30.0,26.0,0.0,5.0,25.0,14.0,0.0,0.0,0.0,95.0,34.0,32.0,51.5
Dany Mota,pt POR,"FW,MF",25-037,21.3,5.0,28.0,11.0,39.3,1.32,0.52,0.18,0.45,12.1,0.0,0.0,0.0,5.1,5.1,0.18,-0.1,-0.1,425.0,610.0,69.7,6145.0,958.0,240.0,299.0,80.3,138.0,194.0,71.1,21.0,35.0,60.0,1.0,2.1,1.8,-1.1,27.0,21.0,14.0,5.0,34.0,610.0,575.0,33.0,2.0,1.0,3.0,45.0,5.0,0.0,0.0,0.0,0.0,425.0,2.0,34.0,57.0,2.68,42.0,0.0,5.0,6.0,4.0,0.0,8.0,0.38,2.0,0.0,3.0,1.0,2.0,0.0,8.0,7.0,1.0,3.0,4.0,2.0,10.0,20.0,8.0,5.0,1.0,4.0,6.0,14.0,25.0,0.0,835.0,25.0,76.0,405.0,364.0,94.0,835.0,73.0,35.0,47.9,25.0,34.2,519.0,3543.0,1410.0,66.0,35.0,31.0,76.0,36.0,639.0,166.0,29,1914.0,66.0,56.0,21.3,21,79.0,6,8,33.0,2,1.52,28.0,22.0,6.0,0.28,0.88,23.0,28.4,-5.4,-0.25,-0.25,2.0,0.0,0.0,20.0,33.0,13.0,45.0,6.0,7.0,2.0,0.0,0.0,60.0,33.0,60.0,35.5
Nicolò Rovella,it ITA,MF,21-186,19.3,1.0,21.0,6.0,28.6,1.09,0.31,0.05,0.17,25.5,1.0,0.0,0.0,1.2,1.2,0.06,-0.2,-0.2,1206.0,1363.0,88.5,22554.0,5545.0,496.0,534.0,92.9,549.0,594.0,92.4,145.0,193.0,75.1,2.0,2.2,1.6,-0.2,22.0,105.0,15.0,2.0,99.0,1363.0,1292.0,68.0,52.0,1.0,24.0,28.0,6.0,10.0,2.0,7.0,0.0,1206.0,3.0,15.0,53.0,2.74,41.0,5.0,1.0,1.0,2.0,3.0,7.0,0.36,5.0,1.0,0.0,0.0,0.0,1.0,45.0,29.0,22.0,21.0,2.0,13.0,36.0,36.1,23.0,20.0,1.0,19.0,40.0,85.0,17.0,0.0,1556.0,46.0,374.0,950.0,248.0,10.0,1556.0,15.0,6.0,40.0,8.0,53.3,950.0,5023.0,2259.0,26.0,30.0,2.0,20.0,7.0,1134.0,19.0,25,1740.0,70.0,50.9,19.3,21,76.0,9,4,34.0,1,1.64,31.0,20.0,11.0,0.57,1.37,23.8,23.0,0.8,0.04,0.37,5.0,1.0,0.0,26.0,21.0,2.0,28.0,40.0,29.0,0.0,0.0,0.0,141.0,9.0,10.0,47.4
