player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Rui Patrício,pt POR,GK,35-113,35.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,677.0,887.0,76.3,18489.0,12522.0,130.0,130.0,100.0,310.0,313.0,99.0,235.0,439.0,53.5,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,887.0,580.0,304.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,677.0,3.0,0.0,2.0,0.06,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,2.0,3.0,6.0,3.0,932.0,839.0,930.0,2.0,0.0,0.0,932.0,0.0,0.0,,0.0,,497.0,2728.0,1483.0,0.0,0.0,0.0,2.0,0.0,381.0,0.0,35,3150.0,90.0,92.1,35.0,35,90.0,35,0,,1,1.69,47.0,35.0,12.0,0.34,0.34,52.8,28.4,24.4,0.7,0.38,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,37.0,2.0,0.0,100.0
Bryan Cristante,it ITA,"MF,DF",28-097,32.6,1.0,28.0,5.0,17.9,0.86,0.15,0.04,0.2,16.8,0.0,0.0,1.0,2.6,1.9,0.07,-1.6,-0.9,1381.0,1679.0,82.3,25923.0,8226.0,571.0,647.0,88.3,590.0,666.0,88.6,182.0,296.0,61.5,1.0,1.4,2.0,-0.4,16.0,157.0,17.0,4.0,142.0,1679.0,1611.0,63.0,60.0,6.0,31.0,11.0,3.0,0.0,0.0,0.0,0.0,1381.0,5.0,19.0,42.0,1.29,37.0,0.0,0.0,5.0,0.0,0.0,7.0,0.21,5.0,0.0,0.0,2.0,0.0,0.0,113.0,62.0,55.0,49.0,9.0,55.0,90.0,61.1,35.0,39.0,10.0,29.0,18.0,131.0,53.0,0.0,1994.0,99.0,559.0,1257.0,196.0,39.0,1993.0,13.0,9.0,69.2,3.0,23.1,1043.0,4607.0,2063.0,16.0,13.0,4.0,25.0,11.0,1290.0,27.0,36,2938.0,82.0,85.9,32.6,34,85.0,26,2,24.0,0,1.67,36.0,27.0,9.0,0.28,-0.28,45.6,24.6,20.9,0.64,-0.18,8.0,1.0,0.0,52.0,19.0,2.0,11.0,18.0,62.0,0.0,0.0,0.0,209.0,75.0,41.0,64.7
Gianluca Mancini,it ITA,DF,27-052,31.8,1.0,22.0,5.0,22.7,0.69,0.16,0.05,0.2,13.1,0.0,0.0,0.0,2.3,2.3,0.1,-1.3,-1.3,1306.0,1621.0,80.6,24870.0,8978.0,494.0,542.0,91.1,638.0,718.0,88.9,157.0,311.0,50.5,2.0,1.6,1.3,0.4,16.0,104.0,15.0,5.0,93.0,1621.0,1536.0,76.0,69.0,3.0,17.0,28.0,5.0,0.0,0.0,0.0,0.0,1306.0,9.0,14.0,37.0,1.17,30.0,1.0,0.0,4.0,1.0,1.0,3.0,0.09,2.0,0.0,0.0,0.0,1.0,0.0,37.0,19.0,27.0,9.0,1.0,18.0,34.0,52.9,16.0,38.0,17.0,21.0,46.0,83.0,67.0,0.0,1865.0,189.0,855.0,885.0,139.0,30.0,1865.0,14.0,6.0,42.9,5.0,35.7,1124.0,5050.0,3089.0,17.0,21.0,0.0,16.0,7.0,1324.0,19.0,35,2859.0,82.0,83.6,31.8,33,84.0,23,2,42.0,2,1.69,35.0,28.0,7.0,0.22,-0.58,43.9,25.3,18.6,0.58,-0.5,7.0,0.0,0.0,39.0,25.0,2.0,28.0,46.0,19.0,0.0,1.0,0.0,112.0,58.0,26.0,69.0
Roger Ibanez,br BRA,DF,24-197,31.1,3.0,29.0,10.0,34.5,0.93,0.32,0.1,0.3,12.3,0.0,0.0,0.0,3.0,3.0,0.1,0.0,0.0,1462.0,1663.0,87.9,27071.0,9588.0,554.0,607.0,91.3,745.0,798.0,93.4,146.0,213.0,68.5,0.0,0.6,0.9,-0.6,6.0,71.0,4.0,0.0,77.0,1663.0,1601.0,60.0,44.0,2.0,8.0,1.0,15.0,0.0,0.0,0.0,0.0,1462.0,2.0,12.0,27.0,0.87,15.0,1.0,0.0,7.0,3.0,1.0,2.0,0.06,1.0,0.0,0.0,1.0,0.0,0.0,67.0,33.0,38.0,26.0,3.0,32.0,48.0,66.7,16.0,30.0,11.0,19.0,66.0,133.0,95.0,2.0,2013.0,209.0,992.0,974.0,80.0,33.0,2013.0,22.0,13.0,59.1,7.0,31.8,1216.0,6677.0,3665.0,24.0,16.0,2.0,25.0,18.0,1272.0,9.0,33,2796.0,85.0,81.8,31.1,32,87.0,30,1,20.0,3,1.45,36.0,35.0,1.0,0.03,-1.55,45.1,27.0,18.1,0.58,-0.45,11.0,1.0,1.0,44.0,48.0,0.0,1.0,66.0,33.0,1.0,0.0,1.0,218.0,59.0,28.0,67.8
Chris Smalling,eng ENG,DF,33-198,31.2,3.0,17.0,4.0,23.5,0.54,0.13,0.18,0.75,8.5,0.0,0.0,0.0,1.7,1.7,0.1,1.3,1.3,1173.0,1344.0,87.3,22956.0,7520.0,335.0,366.0,91.5,713.0,778.0,91.6,113.0,162.0,69.8,1.0,0.4,0.8,0.6,6.0,35.0,3.0,0.0,51.0,1344.0,1315.0,27.0,25.0,1.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,1173.0,2.0,10.0,16.0,0.51,14.0,1.0,0.0,1.0,0.0,0.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,26.0,15.0,16.0,10.0,0.0,13.0,21.0,61.9,8.0,51.0,36.0,15.0,43.0,69.0,123.0,0.0,1657.0,254.0,977.0,637.0,52.0,34.0,1657.0,4.0,2.0,50.0,1.0,25.0,877.0,3859.0,1889.0,5.0,7.0,0.0,10.0,2.0,1002.0,7.0,32,2808.0,88.0,82.1,31.2,31,89.0,30,1,63.0,2,1.88,45.0,27.0,18.0,0.58,1.46,50.9,25.0,25.9,0.83,0.91,7.0,0.0,0.0,18.0,14.0,1.0,1.0,43.0,15.0,0.0,0.0,0.0,142.0,71.0,24.0,74.7
Lorenzo Pellegrini,it ITA,MF,26-354,28.3,4.0,62.0,17.0,27.4,2.19,0.6,0.03,0.12,21.5,9.0,2.0,3.0,8.0,5.7,0.09,-4.0,-3.7,816.0,1114.0,73.2,14299.0,4489.0,390.0,452.0,86.3,275.0,352.0,78.1,118.0,238.0,49.6,5.0,6.9,6.2,-1.9,70.0,62.0,23.0,3.0,106.0,1114.0,908.0,205.0,86.0,12.0,10.0,162.0,6.0,100.0,45.0,51.0,0.0,816.0,1.0,24.0,132.0,4.67,64.0,49.0,3.0,9.0,6.0,1.0,10.0,0.35,2.0,6.0,0.0,2.0,0.0,0.0,52.0,29.0,24.0,24.0,4.0,22.0,48.0,45.8,26.0,27.0,4.0,23.0,26.0,78.0,22.0,0.0,1461.0,32.0,186.0,743.0,548.0,52.0,1458.0,76.0,32.0,42.1,34.0,44.7,788.0,4744.0,2021.0,58.0,39.0,5.0,53.0,36.0,913.0,113.0,32,2545.0,80.0,74.4,28.3,29,85.0,14,3,29.0,3,1.72,35.0,26.0,9.0,0.32,0.01,44.3,20.6,23.7,0.84,0.67,5.0,0.0,0.0,25.0,57.0,5.0,162.0,26.0,29.0,0.0,0.0,0.0,130.0,12.0,24.0,33.3
Nicola Zalewski,pl POL,DF,21-136,24.4,2.0,29.0,9.0,31.0,1.19,0.37,0.07,0.22,23.1,1.0,0.0,0.0,1.3,1.3,0.05,0.7,0.7,933.0,1252.0,74.5,16262.0,5001.0,441.0,503.0,87.7,364.0,462.0,78.8,103.0,220.0,46.8,1.0,1.2,1.9,-0.2,12.0,58.0,24.0,6.0,85.0,1252.0,993.0,254.0,18.0,2.0,14.0,76.0,224.0,12.0,9.0,2.0,0.0,933.0,5.0,25.0,62.0,2.54,35.0,7.0,6.0,5.0,7.0,2.0,7.0,0.29,4.0,2.0,0.0,1.0,0.0,0.0,45.0,26.0,25.0,15.0,5.0,22.0,71.0,31.0,49.0,27.0,1.0,26.0,31.0,76.0,23.0,0.0,1522.0,35.0,416.0,701.0,425.0,33.0,1522.0,71.0,29.0,40.8,30.0,42.3,839.0,5248.0,3029.0,92.0,56.0,21.0,29.0,14.0,942.0,99.0,33,2198.0,67.0,64.3,24.4,26,78.0,10,7,23.0,3,1.61,29.0,24.0,5.0,0.2,-0.31,31.9,18.9,13.0,0.53,-0.38,3.0,0.0,0.0,22.0,51.0,1.0,76.0,31.0,26.0,0.0,0.0,0.0,135.0,4.0,16.0,20.0
Tammy Abraham,eng ENG,FW,25-249,24.3,8.0,62.0,28.0,45.2,2.55,1.15,0.13,0.29,12.0,0.0,0.0,0.0,10.8,10.8,0.17,-2.8,-2.8,342.0,513.0,66.7,4964.0,1248.0,198.0,260.0,76.2,102.0,163.0,62.6,24.0,36.0,66.7,3.0,3.6,2.8,-0.6,33.0,18.0,17.0,2.0,54.0,513.0,475.0,35.0,2.0,4.0,3.0,11.0,1.0,0.0,0.0,0.0,0.0,342.0,3.0,8.0,70.0,2.88,46.0,0.0,7.0,10.0,7.0,0.0,9.0,0.37,4.0,0.0,1.0,3.0,1.0,0.0,17.0,10.0,4.0,8.0,5.0,3.0,16.0,18.8,13.0,10.0,4.0,6.0,3.0,20.0,14.0,0.0,786.0,19.0,50.0,391.0,355.0,125.0,786.0,68.0,22.0,32.4,37.0,54.4,421.0,2154.0,856.0,35.0,20.0,16.0,62.0,31.0,621.0,141.0,38,2188.0,58.0,64.0,24.3,24,77.0,7,14,24.0,0,1.66,32.0,25.0,7.0,0.29,-0.08,37.7,22.9,14.8,0.61,-0.16,2.0,0.0,0.0,33.0,48.0,11.0,11.0,3.0,10.0,1.0,0.0,0.0,46.0,80.0,74.0,51.9
Paulo Dybala,ar ARG,"MF,FW",29-205,19.3,12.0,60.0,18.0,30.0,3.11,0.93,0.12,0.39,20.7,3.0,5.0,5.0,9.3,5.3,0.09,2.7,1.7,650.0,833.0,78.0,11560.0,2954.0,340.0,384.0,88.5,189.0,235.0,80.4,100.0,149.0,67.1,6.0,6.9,4.5,-0.9,53.0,49.0,21.0,1.0,75.0,833.0,734.0,97.0,23.0,5.0,28.0,82.0,10.0,54.0,14.0,37.0,0.0,650.0,2.0,28.0,104.0,5.38,48.0,29.0,4.0,10.0,13.0,0.0,8.0,0.41,4.0,2.0,0.0,1.0,1.0,0.0,14.0,4.0,1.0,8.0,5.0,8.0,26.0,30.8,18.0,12.0,1.0,11.0,8.0,22.0,4.0,0.0,1089.0,2.0,85.0,542.0,478.0,78.0,1084.0,64.0,27.0,42.2,27.0,42.2,689.0,4141.0,1816.0,56.0,43.0,20.0,62.0,32.0,785.0,109.0,25,1738.0,70.0,50.8,19.3,21,77.0,7,4,28.0,1,1.81,35.0,21.0,14.0,0.72,0.83,32.8,14.7,18.0,0.93,0.54,5.0,0.0,0.0,10.0,56.0,5.0,82.0,8.0,4.0,2.0,0.0,0.0,81.0,4.0,16.0,20.0
Leonardo Spinazzola,it ITA,DF,30-075,18.4,1.0,10.0,6.0,60.0,0.54,0.33,0.1,0.17,18.7,0.0,0.0,0.0,1.0,1.0,0.1,0.0,0.0,750.0,989.0,75.8,13111.0,4315.0,355.0,408.0,87.0,300.0,385.0,77.9,78.0,144.0,54.2,4.0,2.0,2.0,2.0,21.0,37.0,26.0,12.0,63.0,989.0,806.0,179.0,14.0,4.0,14.0,57.0,165.0,0.0,0.0,0.0,0.0,750.0,4.0,21.0,46.0,2.5,36.0,2.0,4.0,1.0,3.0,0.0,7.0,0.38,6.0,0.0,1.0,0.0,0.0,0.0,15.0,8.0,7.0,6.0,2.0,8.0,23.0,34.8,15.0,13.0,3.0,10.0,9.0,24.0,25.0,0.0,1157.0,36.0,296.0,560.0,319.0,41.0,1157.0,59.0,25.0,42.4,28.0,47.5,698.0,5327.0,3192.0,107.0,52.0,24.0,26.0,11.0,745.0,87.0,26,1656.0,64.0,48.4,18.4,18,81.0,12,8,25.0,4,1.73,20.0,21.0,-1.0,-0.05,-0.72,28.4,15.5,12.9,0.7,0.06,3.0,0.0,0.0,13.0,13.0,1.0,57.0,9.0,8.0,0.0,0.0,0.0,99.0,9.0,8.0,52.9
