player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,playing_time_mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Lassana Coulibaly,ml MLI,MF,27-059,32.1,3.0,16.0,6.0,37.5,0.5,0.19,0.19,0.5,20.8,0.0,0.0,0.0,0.8,0.8,0.05,2.2,2.2,978.0,1174.0,83.3,15588.0,4473.0,489.0,554.0,88.3,399.0,453.0,88.1,57.0,92.0,62.0,3.0,1.8,1.5,1.2,20.0,91.0,10.0,1.0,120.0,1174.0,1149.0,23.0,20.0,3.0,5.0,10.0,3.0,0.0,0.0,0.0,0.0,978.0,2.0,26.0,56.0,1.74,51.0,1.0,1.0,0.0,3.0,0.0,10.0,0.31,10.0,0.0,0.0,0.0,0.0,0.0,84.0,50.0,42.0,35.0,7.0,30.0,73.0,41.1,43.0,35.0,7.0,28.0,25.0,109.0,33.0,2.0,1540.0,86.0,399.0,933.0,245.0,17.0,1540.0,93.0,48.0,51.6,39.0,41.9,917.0,5811.0,2571.0,52.0,39.0,7.0,61.0,33.0,962.0,59.0,35,2893.0,83.0,84.6,32.1,34,84.0,24,1,34.0,0,1.11,42.0,57.0,-15.0,-0.47,-0.64,30.6,57.2,-26.5,-0.83,-0.16,12.0,0.0,0.0,53.0,50.0,1.0,10.0,25.0,50.0,0.0,0.0,0.0,222.0,29.0,38.0,43.3
Antonio Candreva,it ITA,"MF,DF",36-100,30.3,7.0,46.0,20.0,43.5,1.52,0.66,0.15,0.35,22.2,3.0,0.0,0.0,3.7,3.7,0.08,3.3,3.3,1165.0,1597.0,72.9,19672.0,6882.0,604.0,660.0,91.5,393.0,536.0,73.3,124.0,285.0,43.5,4.0,4.7,4.9,-0.7,57.0,98.0,55.0,30.0,135.0,1597.0,1350.0,243.0,53.0,5.0,25.0,218.0,125.0,61.0,9.0,26.0,0.0,1165.0,4.0,46.0,99.0,3.27,67.0,22.0,2.0,5.0,3.0,0.0,11.0,0.36,9.0,1.0,0.0,1.0,0.0,0.0,17.0,7.0,13.0,2.0,2.0,11.0,38.0,28.9,27.0,7.0,3.0,4.0,17.0,34.0,32.0,0.0,1802.0,48.0,332.0,783.0,708.0,46.0,1802.0,34.0,8.0,23.5,14.0,41.2,1093.0,5695.0,2245.0,71.0,50.0,10.0,25.0,13.0,1298.0,171.0,35,2726.0,78.0,79.7,30.3,32,83.0,18,3,21.0,0,1.17,41.0,46.0,-5.0,-0.17,1.0,30.3,50.1,-19.8,-0.65,0.73,3.0,1.0,1.0,7.0,35.0,10.0,218.0,17.0,7.0,0.0,1.0,0.0,135.0,2.0,5.0,28.6
Boulaye Dia,sn SEN,"FW,MF",26-204,28.0,16.0,47.0,21.0,44.7,1.68,0.75,0.32,0.71,15.0,0.0,1.0,1.0,8.8,8.0,0.17,7.2,7.0,449.0,589.0,76.2,6689.0,1268.0,238.0,287.0,82.9,148.0,184.0,80.4,29.0,39.0,74.4,6.0,3.1,1.9,2.9,35.0,31.0,16.0,2.0,50.0,589.0,566.0,20.0,0.0,2.0,7.0,6.0,3.0,0.0,0.0,0.0,0.0,449.0,3.0,30.0,64.0,2.29,53.0,0.0,3.0,5.0,3.0,0.0,9.0,0.32,8.0,0.0,1.0,0.0,0.0,0.0,12.0,5.0,3.0,6.0,3.0,2.0,7.0,28.6,5.0,10.0,0.0,10.0,7.0,19.0,27.0,1.0,885.0,31.0,113.0,427.0,364.0,75.0,884.0,88.0,35.0,39.8,39.0,44.3,610.0,4033.0,1545.0,48.0,47.0,13.0,71.0,61.0,673.0,140.0,33,2518.0,76.0,73.6,28.0,27,85.0,16,6,37.0,1,1.09,40.0,46.0,-6.0,-0.21,0.58,26.9,47.3,-20.4,-0.73,0.28,4.0,0.0,0.0,28.0,43.0,13.0,6.0,7.0,5.0,0.0,0.0,0.0,97.0,20.0,58.0,25.6
Tonny Vilhena,nl NED,MF,28-156,25.2,4.0,31.0,9.0,29.0,1.23,0.36,0.13,0.44,26.0,1.0,0.0,0.0,2.4,2.4,0.08,1.6,1.6,662.0,864.0,76.6,10869.0,3264.0,344.0,392.0,87.8,224.0,269.0,83.3,61.0,120.0,50.8,1.0,1.7,1.6,-0.7,19.0,64.0,14.0,6.0,80.0,864.0,799.0,61.0,24.0,1.0,14.0,52.0,9.0,28.0,5.0,16.0,0.0,662.0,4.0,22.0,53.0,2.11,37.0,9.0,3.0,1.0,3.0,0.0,3.0,0.12,3.0,0.0,0.0,0.0,0.0,0.0,44.0,22.0,16.0,23.0,5.0,20.0,50.0,40.0,30.0,17.0,7.0,10.0,18.0,62.0,21.0,0.0,1091.0,32.0,202.0,609.0,294.0,19.0,1091.0,39.0,17.0,43.6,19.0,48.7,591.0,3063.0,1302.0,30.0,35.0,3.0,37.0,24.0,682.0,59.0,33,2266.0,69.0,66.3,25.2,27,77.0,9,6,33.0,4,1.12,28.0,44.0,-16.0,-0.64,-0.79,22.9,45.8,-22.8,-0.91,-0.31,5.0,0.0,0.0,34.0,34.0,1.0,52.0,18.0,22.0,0.0,1.0,0.0,126.0,10.0,34.0,22.7
Domagoj Bradarić,hr CRO,DF,23-180,25.0,0.0,7.0,0.0,0.0,0.28,0.0,0.0,,23.8,1.0,0.0,0.0,0.2,0.2,0.03,-0.2,-0.2,857.0,1155.0,74.2,13414.0,4480.0,462.0,535.0,86.4,315.0,414.0,76.1,55.0,144.0,38.2,3.0,2.3,1.5,0.7,17.0,40.0,17.0,9.0,52.0,1155.0,898.0,254.0,37.0,0.0,6.0,68.0,212.0,5.0,1.0,1.0,0.0,857.0,3.0,28.0,42.0,1.68,34.0,2.0,1.0,3.0,1.0,1.0,5.0,0.2,5.0,0.0,0.0,0.0,0.0,0.0,26.0,19.0,14.0,8.0,4.0,7.0,16.0,43.8,9.0,20.0,5.0,15.0,21.0,47.0,44.0,0.0,1352.0,50.0,398.0,609.0,368.0,22.0,1352.0,50.0,17.0,34.0,28.0,56.0,706.0,4295.0,2396.0,63.0,46.0,8.0,27.0,10.0,744.0,107.0,31,2250.0,73.0,65.8,25.0,24,85.0,19,7,29.0,5,1.13,31.0,44.0,-13.0,-0.52,-0.44,22.8,44.3,-21.5,-0.86,-0.17,5.0,0.0,0.0,17.0,20.0,4.0,68.0,21.0,19.0,0.0,0.0,0.0,154.0,14.0,25.0,35.9
Flavius Daniliuc,at AUT,DF,22-042,24.4,0.0,10.0,4.0,40.0,0.41,0.16,0.0,0.0,13.1,1.0,0.0,0.0,0.6,0.6,0.07,-0.6,-0.6,969.0,1127.0,86.0,18211.0,7113.0,377.0,415.0,90.8,475.0,524.0,90.6,101.0,153.0,66.0,2.0,0.5,0.2,1.5,7.0,56.0,2.0,0.0,70.0,1127.0,1078.0,46.0,37.0,0.0,10.0,0.0,9.0,0.0,0.0,0.0,0.0,969.0,3.0,11.0,18.0,0.74,15.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,29.0,37.0,17.0,3.0,26.0,47.0,55.3,21.0,30.0,13.0,17.0,29.0,86.0,76.0,0.0,1374.0,200.0,757.0,572.0,58.0,16.0,1374.0,5.0,2.0,40.0,3.0,60.0,727.0,3691.0,1769.0,14.0,10.0,0.0,14.0,4.0,843.0,5.0,27,2195.0,81.0,64.2,24.4,23,87.0,19,4,46.0,4,1.0,29.0,39.0,-10.0,-0.41,-0.12,22.4,43.4,-21.0,-0.86,-0.17,9.0,0.0,0.0,33.0,4.0,0.0,0.0,29.0,29.0,0.0,0.0,0.0,132.0,39.0,28.0,58.2
Krzysztof Piątek,pl POL,FW,27-342,23.8,4.0,57.0,19.0,33.3,2.4,0.8,0.05,0.16,15.5,1.0,1.0,1.0,8.3,7.6,0.13,-4.3,-4.6,379.0,558.0,67.9,5117.0,687.0,219.0,293.0,74.7,110.0,158.0,69.6,17.0,33.0,51.5,5.0,2.1,0.8,2.9,22.0,24.0,10.0,0.0,33.0,558.0,501.0,51.0,0.0,0.0,1.0,14.0,2.0,0.0,0.0,0.0,0.0,379.0,6.0,12.0,53.0,2.23,36.0,0.0,5.0,6.0,5.0,1.0,10.0,0.42,6.0,0.0,1.0,3.0,0.0,0.0,18.0,11.0,3.0,9.0,6.0,5.0,21.0,23.8,16.0,17.0,4.0,13.0,2.0,20.0,39.0,0.0,848.0,45.0,83.0,433.0,341.0,84.0,847.0,24.0,10.0,41.7,10.0,41.7,440.0,2049.0,620.0,27.0,17.0,11.0,78.0,35.0,615.0,121.0,33,2140.0,65.0,62.6,23.8,23,79.0,13,10,33.0,1,1.09,33.0,44.0,-11.0,-0.46,-0.25,24.5,43.9,-19.4,-0.81,-0.03,5.0,0.0,0.0,39.0,44.0,22.0,14.0,2.0,11.0,0.0,0.0,0.0,58.0,90.0,115.0,43.9
Pasquale Mazzocchi,it ITA,DF,27-316,21.7,2.0,18.0,6.0,33.3,0.83,0.28,0.11,0.33,21.0,1.0,0.0,0.0,1.3,1.3,0.07,0.7,0.7,702.0,949.0,74.0,11136.0,3985.0,379.0,417.0,90.9,245.0,339.0,72.3,56.0,122.0,45.9,3.0,2.6,2.0,0.4,30.0,37.0,21.0,12.0,60.0,949.0,726.0,219.0,13.0,2.0,6.0,90.0,185.0,21.0,2.0,17.0,0.0,702.0,4.0,29.0,63.0,2.9,43.0,12.0,5.0,0.0,2.0,1.0,9.0,0.41,5.0,1.0,2.0,0.0,1.0,0.0,32.0,18.0,21.0,5.0,6.0,17.0,37.0,45.9,20.0,10.0,2.0,8.0,10.0,42.0,37.0,2.0,1196.0,59.0,348.0,469.0,398.0,36.0,1196.0,103.0,58.0,56.3,36.0,35.0,654.0,4495.0,2330.0,70.0,55.0,15.0,54.0,34.0,680.0,102.0,27,1957.0,72.0,57.2,21.7,23,80.0,10,4,31.0,1,1.3,28.0,34.0,-6.0,-0.28,0.22,21.9,34.7,-12.8,-0.59,0.5,2.0,0.0,0.0,27.0,17.0,5.0,90.0,10.0,18.0,1.0,0.0,0.0,129.0,12.0,14.0,46.2
Lorenzo Pirola,it ITA,DF,21-108,21.6,2.0,13.0,2.0,15.4,0.6,0.09,0.15,1.0,11.5,0.0,0.0,0.0,1.5,1.5,0.11,0.5,0.5,790.0,989.0,79.9,14168.0,5069.0,320.0,355.0,90.1,399.0,470.0,84.9,65.0,127.0,51.2,0.0,0.4,0.4,-0.4,3.0,43.0,4.0,0.0,43.0,989.0,952.0,31.0,26.0,0.0,2.0,1.0,5.0,0.0,0.0,0.0,0.0,790.0,6.0,13.0,11.0,0.51,5.0,1.0,0.0,4.0,1.0,0.0,1.0,0.05,0.0,0.0,0.0,1.0,0.0,0.0,33.0,29.0,18.0,14.0,1.0,19.0,27.0,70.4,8.0,50.0,35.0,15.0,30.0,63.0,85.0,1.0,1235.0,169.0,719.0,472.0,51.0,19.0,1235.0,8.0,5.0,62.5,3.0,37.5,641.0,2541.0,1280.0,13.0,12.0,0.0,12.0,2.0,771.0,4.0,26,1942.0,75.0,56.8,21.6,23,82.0,12,3,22.0,11,1.12,25.0,38.0,-13.0,-0.6,-0.54,17.2,35.2,-18.0,-0.83,-0.07,4.0,0.0,0.0,28.0,9.0,0.0,1.0,30.0,29.0,0.0,0.0,0.0,83.0,48.0,39.0,55.2
Norbert Gyömbér,sk SVK,DF,30-340,19.3,0.0,8.0,0.0,0.0,0.41,0.0,0.0,,12.9,0.0,0.0,0.0,0.7,0.7,0.09,-0.7,-0.7,621.0,744.0,83.5,11217.0,4343.0,231.0,258.0,89.5,322.0,362.0,89.0,56.0,103.0,54.4,1.0,0.6,0.1,0.4,3.0,32.0,2.0,1.0,45.0,744.0,710.0,34.0,29.0,0.0,5.0,5.0,4.0,0.0,0.0,0.0,0.0,621.0,0.0,4.0,11.0,0.57,8.0,1.0,0.0,1.0,0.0,1.0,3.0,0.15,2.0,0.0,0.0,1.0,0.0,0.0,32.0,23.0,25.0,6.0,1.0,16.0,24.0,66.7,8.0,33.0,22.0,11.0,35.0,67.0,92.0,0.0,955.0,136.0,536.0,402.0,22.0,9.0,955.0,3.0,2.0,66.7,1.0,33.3,444.0,2200.0,848.0,5.0,1.0,0.0,2.0,1.0,481.0,2.0,27,1741.0,64.0,50.9,19.3,23,73.0,9,4,17.0,3,1.19,25.0,19.0,6.0,0.31,1.38,19.4,27.9,-8.5,-0.44,0.74,5.0,0.0,0.0,22.0,7.0,0.0,5.0,35.0,23.0,0.0,1.0,0.0,106.0,45.0,25.0,64.3
