player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Vanja Milinković-Savić,rs SRB,GK,26-108,38.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1113.0,1806.0,61.6,35389.0,25444.0,158.0,160.0,98.8,551.0,558.0,98.7,401.0,1070.0,37.5,0.0,0.5,0.2,-0.5,1.0,94.0,2.0,0.0,0.0,1806.0,1412.0,380.0,93.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,1113.0,14.0,1.0,6.0,0.16,4.0,2.0,0.0,0.0,0.0,0.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,1.0,3.0,19.0,1.0,1882.0,1342.0,1862.0,21.0,1.0,1.0,1882.0,0.0,0.0,,0.0,,1187.0,7724.0,4634.0,0.0,0.0,0.0,2.0,1.0,1000.0,0.0,38,3420.0,90.0,100.0,38.0,38,90.0,38,0,,0,1.39,42.0,41.0,1.0,0.03,,41.8,40.0,1.8,0.05,,4.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,64.0,12.0,2.0,85.7
Alessandro Buongiorno,it ITA,DF,24-002,30.2,1.0,20.0,1.0,5.0,0.66,0.03,0.05,1.0,8.6,0.0,0.0,0.0,2.2,2.2,0.11,-1.2,-1.2,1332.0,1573.0,84.7,22243.0,6857.0,578.0,643.0,89.9,671.0,750.0,89.5,57.0,113.0,50.4,2.0,1.3,1.0,0.7,8.0,70.0,5.0,3.0,81.0,1573.0,1527.0,41.0,30.0,1.0,3.0,8.0,6.0,0.0,0.0,0.0,0.0,1332.0,5.0,21.0,22.0,0.73,17.0,0.0,0.0,2.0,1.0,2.0,4.0,0.13,3.0,0.0,0.0,1.0,0.0,0.0,38.0,25.0,22.0,16.0,0.0,16.0,31.0,51.6,15.0,38.0,19.0,19.0,60.0,98.0,105.0,2.0,1938.0,161.0,860.0,976.0,110.0,33.0,1938.0,16.0,6.0,37.5,7.0,43.8,986.0,4659.0,2324.0,13.0,16.0,2.0,33.0,6.0,1180.0,19.0,34,2721.0,80.0,79.6,30.2,30,85.0,24,4,39.0,2,1.41,35.0,30.0,5.0,0.17,0.68,32.3,30.1,2.2,0.07,0.12,8.0,0.0,0.0,64.0,38.0,0.0,8.0,60.0,25.0,0.0,0.0,0.0,167.0,99.0,52.0,65.6
Ricardo Rodríguez,ch SUI,DF,30-287,29.7,0.0,11.0,4.0,36.4,0.37,0.13,0.0,0.0,23.9,1.0,0.0,0.0,0.4,0.4,0.04,-0.4,-0.4,1439.0,1757.0,81.9,25311.0,8461.0,664.0,726.0,91.5,625.0,718.0,87.0,128.0,242.0,52.9,0.0,1.9,2.2,-1.9,29.0,114.0,26.0,12.0,133.0,1757.0,1602.0,145.0,40.0,0.0,18.0,71.0,87.0,13.0,10.0,3.0,0.0,1439.0,10.0,31.0,57.0,1.92,46.0,8.0,1.0,2.0,0.0,0.0,2.0,0.07,2.0,0.0,0.0,0.0,0.0,0.0,54.0,33.0,30.0,17.0,7.0,28.0,42.0,66.7,14.0,30.0,15.0,15.0,38.0,92.0,61.0,0.0,1993.0,119.0,692.0,998.0,314.0,12.0,1993.0,13.0,7.0,53.8,5.0,38.5,1136.0,5905.0,3111.0,49.0,58.0,5.0,13.0,11.0,1328.0,51.0,35,2669.0,76.0,78.0,29.7,30,85.0,21,5,27.0,2,1.34,33.0,31.0,2.0,0.07,0.19,32.2,29.9,2.3,0.08,0.14,3.0,0.0,0.0,25.0,8.0,0.0,71.0,38.0,33.0,0.0,0.0,0.0,164.0,30.0,29.0,50.8
Nikola Vlašić,hr CRO,"MF,FW",25-247,30.3,5.0,53.0,21.0,39.6,1.75,0.69,0.09,0.24,18.0,1.0,0.0,0.0,4.3,4.3,0.08,0.7,0.7,775.0,981.0,79.0,10928.0,2475.0,448.0,510.0,87.8,234.0,286.0,81.8,42.0,62.0,67.7,6.0,4.1,3.3,1.9,63.0,70.0,26.0,8.0,106.0,981.0,954.0,23.0,3.0,2.0,8.0,46.0,5.0,9.0,5.0,2.0,0.0,775.0,4.0,43.0,115.0,3.79,96.0,5.0,4.0,7.0,1.0,2.0,8.0,0.26,7.0,0.0,0.0,0.0,1.0,0.0,32.0,21.0,9.0,16.0,7.0,15.0,34.0,44.1,19.0,25.0,2.0,23.0,10.0,42.0,14.0,0.0,1296.0,16.0,131.0,548.0,641.0,116.0,1296.0,64.0,30.0,46.9,26.0,40.6,782.0,4766.0,2266.0,85.0,59.0,28.0,94.0,49.0,968.0,210.0,34,2729.0,80.0,79.8,30.3,29,87.0,23,5,42.0,0,1.35,33.0,30.0,3.0,0.1,0.36,33.6,33.7,-0.2,-0.01,-0.26,1.0,0.0,0.0,32.0,38.0,15.0,46.0,10.0,21.0,0.0,0.0,0.0,128.0,25.0,49.0,33.8
Antonio Sanabria,py PAR,FW,27-096,27.0,12.0,67.0,24.0,35.8,2.48,0.89,0.16,0.46,13.5,0.0,1.0,1.0,9.3,8.5,0.13,2.7,2.5,524.0,691.0,75.8,7116.0,910.0,335.0,405.0,82.7,132.0,177.0,74.6,23.0,31.0,74.2,4.0,3.0,1.4,1.0,25.0,34.0,15.0,0.0,46.0,691.0,632.0,58.0,2.0,1.0,5.0,2.0,2.0,0.0,0.0,0.0,0.0,524.0,1.0,18.0,50.0,1.85,41.0,0.0,5.0,2.0,1.0,1.0,5.0,0.19,5.0,0.0,0.0,0.0,0.0,0.0,11.0,5.0,3.0,3.0,5.0,1.0,7.0,14.3,6.0,9.0,2.0,7.0,4.0,15.0,7.0,0.0,946.0,11.0,49.0,457.0,450.0,117.0,945.0,41.0,23.0,56.1,11.0,26.8,496.0,2285.0,536.0,17.0,19.0,11.0,83.0,29.0,730.0,139.0,33,2432.0,74.0,71.1,27.0,28,82.0,12,5,25.0,2,1.33,29.0,31.0,-2.0,-0.07,-0.35,31.2,27.2,4.0,0.15,0.35,4.0,0.0,0.0,33.0,27.0,14.0,2.0,4.0,5.0,0.0,0.0,0.0,64.0,86.0,124.0,41.0
Perr Schuurs,nl NED,DF,23-194,25.9,0.0,14.0,1.0,7.1,0.54,0.04,0.0,0.0,14.9,2.0,0.0,0.0,0.9,0.9,0.07,-0.9,-0.9,1058.0,1201.0,88.1,20819.0,6259.0,320.0,358.0,89.4,622.0,671.0,92.7,108.0,142.0,76.1,2.0,0.9,0.8,1.1,7.0,35.0,3.0,0.0,56.0,1201.0,1165.0,36.0,31.0,0.0,1.0,2.0,5.0,0.0,0.0,0.0,0.0,1058.0,0.0,7.0,20.0,0.77,14.0,0.0,3.0,1.0,1.0,1.0,2.0,0.08,2.0,0.0,0.0,0.0,0.0,0.0,51.0,25.0,29.0,17.0,5.0,14.0,26.0,53.8,12.0,28.0,16.0,12.0,28.0,79.0,102.0,0.0,1479.0,145.0,759.0,671.0,67.0,17.0,1479.0,14.0,10.0,71.4,3.0,21.4,768.0,3730.0,1812.0,14.0,16.0,1.0,21.0,7.0,814.0,2.0,30,2327.0,78.0,68.0,25.9,28,82.0,21,2,14.0,4,1.43,26.0,29.0,-3.0,-0.12,-0.45,28.6,25.1,3.4,0.13,0.27,5.0,0.0,0.0,31.0,3.0,2.0,2.0,28.0,25.0,0.0,1.0,0.0,177.0,60.0,49.0,55.0
Koffi Djidji,ci CIV,DF,30-190,26.9,1.0,8.0,4.0,50.0,0.3,0.15,0.13,0.25,12.2,0.0,0.0,0.0,0.9,0.9,0.12,0.1,0.1,1249.0,1441.0,86.7,22239.0,6388.0,504.0,543.0,92.8,617.0,672.0,91.8,101.0,171.0,59.1,0.0,0.1,0.3,-0.1,2.0,81.0,5.0,2.0,83.0,1441.0,1408.0,30.0,15.0,1.0,10.0,13.0,14.0,0.0,0.0,0.0,0.0,1249.0,3.0,20.0,18.0,0.67,16.0,0.0,0.0,0.0,0.0,2.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,50.0,25.0,32.0,17.0,1.0,18.0,32.0,56.3,14.0,29.0,14.0,15.0,34.0,84.0,72.0,0.0,1678.0,129.0,754.0,844.0,90.0,8.0,1678.0,5.0,4.0,80.0,1.0,20.0,919.0,3316.0,1486.0,11.0,10.0,0.0,7.0,6.0,1123.0,13.0,34,2424.0,71.0,70.9,26.9,26,87.0,19,8,21.0,3,1.35,27.0,30.0,-3.0,-0.11,-0.47,28.2,28.9,-0.7,-0.03,-0.25,3.0,0.0,0.0,27.0,3.0,1.0,13.0,34.0,25.0,0.0,2.0,0.0,141.0,47.0,50.0,48.5
Aleksei Miranchuk,ru RUS,MF,27-234,23.2,4.0,40.0,15.0,37.5,1.72,0.65,0.1,0.27,20.2,1.0,0.0,0.0,2.9,2.9,0.07,1.1,1.1,653.0,821.0,79.5,10323.0,2484.0,345.0,398.0,86.7,219.0,263.0,83.3,54.0,100.0,54.0,5.0,4.2,3.3,0.8,43.0,73.0,32.0,7.0,99.0,821.0,786.0,32.0,5.0,9.0,5.0,30.0,8.0,19.0,13.0,0.0,0.0,653.0,3.0,16.0,78.0,3.36,67.0,3.0,1.0,3.0,3.0,1.0,9.0,0.39,7.0,0.0,0.0,1.0,1.0,0.0,11.0,5.0,3.0,4.0,4.0,3.0,11.0,27.3,8.0,11.0,0.0,11.0,2.0,13.0,5.0,0.0,1010.0,10.0,66.0,527.0,424.0,42.0,1010.0,46.0,15.0,32.6,25.0,54.3,667.0,3642.0,1633.0,47.0,44.0,8.0,47.0,27.0,802.0,105.0,29,2089.0,72.0,61.1,23.2,24,82.0,12,5,26.0,1,1.38,29.0,24.0,5.0,0.22,0.49,23.1,22.6,0.5,0.02,-0.06,0.0,0.0,0.0,9.0,22.0,1.0,30.0,2.0,5.0,1.0,0.0,0.0,92.0,10.0,21.0,32.3
Wilfried Singo,ci CIV,DF,22-165,22.8,2.0,34.0,10.0,29.4,1.49,0.44,0.06,0.2,14.0,0.0,0.0,0.0,2.7,2.7,0.08,-0.7,-0.7,853.0,1138.0,75.0,14659.0,4321.0,393.0,458.0,85.8,376.0,492.0,76.4,67.0,131.0,51.1,1.0,1.9,1.7,-0.9,23.0,46.0,24.0,10.0,67.0,1138.0,923.0,207.0,20.0,3.0,7.0,56.0,187.0,0.0,0.0,0.0,0.0,853.0,8.0,19.0,45.0,1.98,29.0,0.0,7.0,7.0,2.0,0.0,4.0,0.18,2.0,0.0,1.0,1.0,0.0,0.0,27.0,17.0,14.0,10.0,3.0,12.0,19.0,63.2,7.0,15.0,2.0,13.0,12.0,39.0,33.0,1.0,1354.0,46.0,299.0,649.0,420.0,59.0,1354.0,54.0,30.0,55.6,13.0,24.1,708.0,3749.0,1789.0,54.0,34.0,9.0,33.0,17.0,849.0,93.0,31,2048.0,66.0,59.9,22.8,24,78.0,9,7,24.0,3,1.32,26.0,27.0,-1.0,-0.04,-0.18,22.6,23.6,-1.0,-0.04,-0.23,8.0,0.0,0.0,42.0,35.0,1.0,56.0,12.0,17.0,0.0,0.0,0.0,116.0,53.0,23.0,69.7
Samuele Ricci,it ITA,MF,21-291,23.0,2.0,21.0,7.0,33.3,0.91,0.3,0.1,0.29,21.5,0.0,0.0,0.0,1.7,1.7,0.08,0.3,0.3,1034.0,1181.0,87.6,17604.0,4043.0,464.0,508.0,91.3,451.0,492.0,91.7,83.0,114.0,72.8,1.0,1.8,1.4,-0.8,16.0,96.0,12.0,2.0,104.0,1181.0,1111.0,66.0,52.0,2.0,4.0,31.0,1.0,13.0,12.0,1.0,0.0,1034.0,4.0,16.0,38.0,1.65,27.0,3.0,2.0,4.0,2.0,0.0,1.0,0.04,0.0,0.0,0.0,1.0,0.0,0.0,32.0,21.0,17.0,10.0,5.0,18.0,23.0,78.3,5.0,20.0,5.0,15.0,17.0,49.0,29.0,1.0,1376.0,50.0,233.0,900.0,258.0,15.0,1376.0,26.0,8.0,30.8,12.0,46.2,868.0,4897.0,2083.0,43.0,30.0,5.0,21.0,17.0,974.0,31.0,28,2070.0,74.0,60.5,23.0,23,84.0,15,5,28.0,3,1.54,28.0,22.0,6.0,0.26,0.59,24.3,23.5,0.8,0.04,-0.03,6.0,0.0,0.0,22.0,58.0,0.0,31.0,17.0,21.0,0.0,0.0,0.0,136.0,11.0,15.0,42.3
